快捷键 	说明
ctrl+\ 	快捷键是否全网页可用，默认true
Ctrl+space 	禁用/启用 该播放插件
→ 	快进5秒
← 	后退5秒
Ctrl+→ 	快进30秒
Ctrl+← 	后退30秒
↑ 	音量升高 5%
↓ 	音量降低 5%
Ctrl+↑ 	音量升高 20%
Ctrl+↓ 	音量降低 20%
C 	加速播放 +0.1
X 	减速播放 -0.1
Z 	正常速度播放
shift+C 	放大视频画面 +0.05
shift+X 	缩小视频画面 -0.05
shift+Z 	恢复视频画面
shift+P 	进入或退画中画功能
shift+S 	截图，截取当前画面并保存
shift+D 	下载音视频文件（实验性功能）
shift+R 	启用或禁止自动恢复播放进度功能
shift+→ 	画面向右移动10px
shift+← 	画面向左移动10px
shift+↑ 	画面向上移动10px
shift+↓ 	画面向下移动10px
Enter 	进入/退出全屏
shift+Enter 	进入/退出网页全屏
N 	下一个/集视频（仅部分网站支持）
D 	上一帧 (截图时进行微调以找到质量最佳的一帧)
F 	下一帧 (截图时进行微调以找到质量最佳的一帧)
E 	亮度增加%
W 	亮度减少%
T 	对比度增加%
R 	对比度减少%
U 	饱和度增加%
Y 	饱和度减少%
O 	色相增加 1 度
I 	色相减少 1 度
K 	模糊增加 1 px
J 	模糊减少 1 px
Q 	图像复位
S 	画面旋转 90 度
M 	画面水平镜像翻转
shift+M 	画面垂直镜像翻转
